pop1	pop2	sex	0	1	2	3	4	5	6
1	1	A	1	1	1	1	1	1	1
1	a0	F	1	0	0	0	0	0	0
1	a1	M	1	0	0	0	0	0	0
2	2	A	1	1	1	1	1	1	1
2       a2      F       1       0       0       0       0       0	0
2       a3      M       1       0       0       0       0       0	0
3       3       A       1       1       1       1       1       1	1
3       a4      F       1       0       0       0       0       0	0
3       a5      M       1       0       0       0       0       0	0
4       4       A       1       1       1       1       1       1	1
4       a6      F       1       0       0       0       0       0	0
4       a7      M       1       0       0       0       0       0	0
5       5       A       1       1       1       1       1       1	1
5       a8      F       1       0       0       0       0       0	0
5       a9      M       1       0       0       0       0       0	0
6       6       A       1       1       1       1       1       1	1
6       a10     F       1       0       0       0       0       0	0
6       a11     M       1       0       0       0       0       0	0
7       7       A       1       1       1       1       1       1	1
7       a12     F       1       0       0       0       0       0	0
7       a13     M       1       0       0       0       0       0	0
8       8       A       1       1       1       1       1       1	1
8       a14     F       1       0       0       0       0       0	0
8       a15     M       1       0       0       0       0       0	0
9       9       A       1       1       1       1       1       1	1
9       a16     F       1       0       0       0       0       0	0
9       a17     M       1       0       0       0       0       0	0
10      10      A       1       1       1       1       1       1	1
10      a18     F       1       0       0       0       0       0	0
10      a19     M       1       0       0       0       0       0	0
0	0	F	1	6	15	45	95	120	150
0	1	F	0	0.16666666667	0	0	0	0	0
0	2	F	0	0.16666666667	0       0       0       0	0
0	3	F	0	0.16666666667	0       0       0       0	0
0	4	F	0	0.16666666667	0       0       0       0	0
0	5	F	0	0.16666666667	0       0       0       0	0
0	6	F	0	0.16666666667	0       0       0       0	0
0	0	M	1	4	14	44	93	120	150
0	7	M	0	0.25    0       0       0       0	0
0	8	M	0	0.25    0       0       0       0	0
0	9	M	0	0.25    0       0       0       0	0
0	10	M	0	0.25    0       0       0       0	0
0	a0	A	1	0	0	0	0	0	0
